Дата;Код;Комментарий;Картинка;Вес;Ед;Окраска;Материал;Цвет;Цвет металла;Форма;Отверстие;Диаметр;Длина;Ширина ;Толщина;Огранка;Вид;Производитель;Тема;Тип;Фасовка;Бренд;Вставка;Материал камня;Применение;Свойство камня;Серия;Стиль;Форма отверстия;Палитра;Размер;Номер цвета;;;;Хар2;К2;Уп2;Вес2;Хар3;К3;Уп3;Вес3;Хар4;К4;Уп4;Вес4;Ост2;Ост3;Ост4;ЦенаРозн2;ЦенаРозн3;ЦенаРозн4;ЦенаОпт2;ЦенаОпт3;ЦенаОпт4;Резерв2;Резерв3;Резерв4;ДопОписание
31.03.2020;УТ0005642;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Оранжевый, Диаметр: 14мм, Отверстие 2.5мм, около 34шт/50г, (УТ0005642);000564200.jpg;1200;50 г;;Акрил;Оранжевый;;Круглая;2~2,9мм;14мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Оранжево-желтая;10~14мм;;;;;50 г, 50;50;50 г;50;;;;;500 г, 500;500;500 г;500;23;;;27,804;;170,00001;17,679;;144,99999;1;;;
31.03.2020;УТ0005644;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Бежевый, Диаметр: 12мм, Отверстие 2.5мм, около 50шт/50г, (УТ0005644);000564400.jpg;;50 г;;Акрил;Бежевый;;Круглая;2~2,9мм;12мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Коричнево-бежевая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;13;;27,804;5,94999;;17,679;3,21429;;;;;
31.03.2020;УТ0005645;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Розовый, Диаметр: 12мм, Отверстие 2.5мм, около 50шт/50г, (УТ0005645);000564500.jpg;900;50 г;;Акрил;Розовый;;Круглая;2~2,9мм;12мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;17;14;;27,804;5,94999;170,00001;17,679;3,21429;144,99999;1;;;
31.03.2020;УТ0005646;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Розовый, Диаметр: 12мм, Отверстие 2.5мм, около 50шт/50г, (УТ0005646);000564600.jpg;750;50 г;;Акрил;Розовый;;Круглая;2~2,9мм;12мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;14;16;;27,804;5,94999;;17,679;3,21429;;1;;;
31.03.2020;УТ0005647;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Оранжевый, Диаметр: 12мм, Отверстие 2.5мм, около 50шт/50г, (УТ0005647);000564700.jpg;550;50 г;;Акрил;Оранжевый;;Круглая;2~2,9мм;12мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Оранжево-желтая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;10;15;;27,804;5,94999;;17,679;3,21429;;1;1;;
31.03.2020;УТ0005648;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Красный, Диаметр: 12мм, Отверстие 2.5мм, около 50шт/50г, (УТ0005648);000564800.jpg;;50 г;;Акрил;Красный;;Круглая;2~2,9мм;12мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;5;;27,804;5,94999;;17,679;3,21429;;;1;;
31.03.2020;УТ0005649;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Оранжевый, Диаметр: 12мм, Отверстие 2.5мм, около 50шт/50г, (УТ0005649);000564900.jpg;1100;50 г;;Акрил;Оранжевый;;Круглая;2~2,9мм;12мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Оранжево-желтая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;21;16;;27,804;5,94999;;17,679;3,21429;;1;;;
31.03.2020;УТ0005650;Бусины Акриловые Граненые, Круглые, Цвет: Черный, Диаметр: 12мм, Отверстие 2.5мм, около 50шт/50г, (УТ0005650);000565000.jpg;;50 г;;Акрил;Черный;;Круглая;2~2,9мм;12мм;;;;Граненые;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Черно-серая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;;;27,321;;;18,213;;;;;;
31.03.2020;УТ0005651;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Бежевый, Диаметр: 10мм, Отверстие 2мм, около 94шт/50г, (УТ0005651);000565100.jpg;50;50 г;;Акрил;Бежевый;;Круглая;2~2,9мм;10мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Коричнево-бежевая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;18;;27,804;5,94999;;17,679;3,21429;;1;;;
31.03.2020;УТ0005652;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Розовый, Диаметр: 10мм, Отверстие 2мм, около 94шт/50г, (УТ0005652);000565200.jpg;400;50 г;;Акрил;Розовый;;Круглая;2~2,9мм;10мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;7;18;;27,804;5,94999;170,00001;17,679;3,21429;144,99999;1;;;
31.03.2020;УТ0005653;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Розовый темный, Диаметр: 10мм, Отверстие 2мм, около 94шт/50г, (УТ0005653);000565300.jpg;;50 г;;Акрил;Розовый темный;;Круглая;2~2,9мм;10мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;1;;27,804;5,94999;;17,679;3,21429;;;1;;
31.03.2020;УТ0005654;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Коралловый, Диаметр: 10мм, Отверстие 2мм, около 94шт/50г, (УТ0005654);000565400.jpg;50;50 г;;Акрил;Коралловый;;Круглая;2~2,9мм;10мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;18;;27,804;5,94999;;17,679;3,21429;;1;;;
31.03.2020;УТ0005655;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Оранжевый, Диаметр: 10мм, Отверстие 2мм, около 95шт/50г, (УТ0005655);000565500.jpg;;50 г;;Акрил;Оранжевый;;Круглая;2~2,9мм;10мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Оранжево-желтая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;;16;;27,804;5,94999;170,00001;17,679;3,21429;144,99999;;1;;
31.03.2020;УТ0005656;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Оранжевый, Диаметр: 10мм, Отверстие 2мм, около 94шт/50г, (УТ0005656);000565600.jpg;300;50 г;;Акрил;Оранжевый;;Круглая;2~2,9мм;10мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Оранжево-желтая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;5;15;;27,804;5,94999;;17,679;3,21429;;1;1;;
31.03.2020;УТ0005657;Бусины Акриловые Граненые, Круглые, Цвет: Черный, Диаметр: 10мм, Отверстие 2мм, около 94шт/50г, (УТ0005657);000565700.jpg;;50 г;;Акрил;Черный;;Круглая;2~2,9мм;10мм;;;;Граненые;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Черно-серая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;;;;27,321;5,94999;180;18,213;3,21429;150;;;;
31.03.2020;УТ0005658;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Бежевый, Диаметр: 8мм, Отверстие 1.5мм, около 210шт/50г, (УТ0005658);000565800.jpg;;50 г;;Акрил;Бежевый;;Круглая;1~1,9мм;8мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Коричнево-бежевая;8~9мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;;;27,804;5,94999;;17,679;3,21429;;;;;
31.03.2020;УТ0005659;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Розовый темный, Диаметр: 8мм, Отверстие 1.5мм, около 210шт/50г, (УТ0005659);000565900.jpg;350;50 г;;Акрил;Розовый темный;;Круглая;1~1,9мм;8мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;8~9мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;4;15;;27,804;5,94999;;17,679;3,21429;;3;;;
31.03.2020;УТ0005660;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Оранжевый, Диаметр: 8мм, Отверстие 1.5мм, около 210шт/50г, (УТ0005660);000566000.jpg;450;50 г;;Акрил;Оранжевый;;Круглая;1~1,9мм;8мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Оранжево-желтая;8~9мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;8;16;;27,804;5,94999;;17,679;3,21429;;1;;;
31.03.2020;УТ0005662;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Красный, Диаметр: 8мм, Отверстие 1.5мм, около 210шт/50г, (УТ0005662);000566200.jpg;;50 г;;Акрил;Красный;;Круглая;1~1,9мм;8мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;8~9мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;;;;27,804;5,94999;170,00001;17,679;3,21429;144,99999;;;;
31.03.2020;УТ0005663;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Бежевый, Диаметр: 8мм, Отверстие 1.5мм, около 210шт/50г, (УТ0005663);000566300.jpg;;50 г;;Акрил;Бежевый;;Круглая;1~1,9мм;8мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Коричнево-бежевая;8~9мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;;;27,804;5,94999;;17,679;3,21429;;;;;
31.03.2020;УТ0005664;Бусины Акриловые Граненые, Круглые, Цвет: Черный, Диаметр: 8мм, Отверстие 1.5мм, около 165/50г, (УТ0005664);000566400.jpg;;50 г;;Акрил;Черный;;Круглая;1~1,9мм;8мм;;;;Граненые;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Черно-серая;8~9мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;27,321;;;18,213;;;;;;
31.03.2020;УТ0005665;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Розовый, Диаметр: 6мм, Отверстие 1.5мм, около 450шт/50г, (УТ0005665);000566500.jpg;1700;50 г;;Акрил;Розовый;;Круглая;1~1,9мм;6мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;6~7мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;32;16;;27,804;5,94999;170,00001;17,679;3,21429;144,99999;2;;;
31.03.2020;УТ0005666;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Розовый, Диаметр: 6мм, Отверстие 1.5мм, около 450шт/50г, (УТ0005666);000566600.jpg;;50 г;;Акрил;Розовый;;Круглая;1~1,9мм;6мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;6~7мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;27,804;;;17,679;;;;;;
31.03.2020;УТ0005667;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Коралловый, Диаметр: 6мм, Отверстие 1.5мм, около 450шт/50г, (УТ0005667);000566700.jpg;300;50 г;;Акрил;Коралловый;;Круглая;1~1,9мм;6мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;6~7мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;4;19;;27,804;5,94999;170,00001;17,679;3,24999;144,99999;2;;;
31.03.2020;УТ0005668;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Оранжевый, Диаметр: 6мм, Отверстие 1.5мм, около 450шт/50г, (УТ0005668);000566800.jpg;;50 г;;Акрил;Оранжевый;;Круглая;1~1,9мм;6мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Оранжево-желтая;6~7мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;;;;27,804;5,94999;170,00001;17,679;3,21429;144,99999;;;;
31.03.2020;УТ0005669;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Красный, Диаметр: 6мм, Отверстие 1.5мм, около 450шт/50г, (УТ0005669);000566900.jpg;;50 г;;Акрил;Красный;;Круглая;1~1,9мм;6мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Красно-розовая;6~7мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;27,804;;;17,679;;;;;;
31.03.2020;УТ0005670;Бусины Акриловые Прозрачные, Граненые, Круглые, Цвет: Желтый, Диаметр: 6мм, Отверстие 1.5мм, около 450шт/50г, (УТ0005670);000567000.jpg;50;50 г;;Акрил;Желтый;;Круглая;1~1,9мм;6мм;;;;Граненые;;;;Прозрачные;;;;;Бусины;;Кристалл;Прозрачный;;Оранжево-желтая;6~7мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;1;19;;27,804;5,94999;170,00001;17,679;3,24999;144,99999;;;;
31.03.2020;УТ0005671;Бусины Акриловые Граненые, Круглые, Цвет: Черный, Диаметр: 6мм, Отверстие 1.5мм, около 450шт/50г, (УТ0005671);000567100.jpg;;50 г;;Акрил;Черный;;Круглая;1~1,9мм;6мм;;;;Граненые;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Черно-серая;6~7мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;;;27,321;;;18,213;;;;;;
31.03.2020;УТ0005692;Бусины Акриловые UV Покрытие, Глянцевые, Круглые, Цвет: Розовый, Диаметр: 8мм, Отверстие 2мм, около 95шт/25г, (УТ0005692);000569200.jpg;;25 г;;Акрил;Розовый;;Круглая;2~2,9мм;8мм;;;;;;;;С Покрытием;;;;;Бусины;;Суперглянец;Глянцевое UV Покрытие;;Красно-розовая;8~9мм;;;;;25 г, 25;25;25 г;25;5 г, 5;5;5 г;5;250 г, 250;250;250 г;250;;;;26,25;10,66071;;17,679;5,30358;;;;;
31.03.2020;УТ0005693;Жемчуг Бусины Акриловые, Глянцевые, Круглые, Цвет: Микс, Диаметр 10мм, Отв-тие 2мм, около 100шт/50 г (УТ0005693);000569300.jpg;1000;50 г;;Акриловый жемчуг;Микс;;Круглая;2~2,9мм;10мм;;;;;;;;Акриловый жемчуг;;;;;Бусины;;Акриловый жемчуг;Жемчужный;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;;;;;500 г, 500;500;500 г;500;17;;1;32,088;;225;22,5;;200,00001;3;;;Красочные бусины из акрила с имитацией жемчуга милые и привлекательные. Их легкость и недорогая цена делает их покупку мудрым выбором для Вас. Они используются со швензами, колечками и пинами, чтобы стать ожерельями, браслетами, сережками и т.д.
31.03.2020;УТ0005694;Кулоны Акриловые Желейные, Сердце, Цвет: Красный, Размер: 16х15х8мм, Отв-тие 2.5мм, около 46 шт/50 г, (УТ0005694);000569400.jpg;;50 г;;Акрил;Красный;;Сердце;2~2,9мм;;16мм;15мм;8мм;;;;Романтика;Имитация Других Материалов;;;;;Кулоны и Подвески;;Желейные;Желейный Стиль;;Красно-розовая;15~19мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;34,821;;;20,892;;;;;;Размер: Длина 16мм, Ширина 15мм, Толщина 8мм, около 46 шт/50г
31.03.2020;УТ0005696;Кулоны Акриловые Желейные, Сердце, Цвет: Микс, Размер: 16х15х8мм, Отв-тие 2.5мм, около 46 шт/50 г, (УТ0005696);000569600.jpg;;50 г;;Акрил;Микс;;Сердце;2~2,9мм;;16мм;15мм;8мм;;;;Романтика;Имитация Других Материалов;;;;;Кулоны и Подвески;;Желейные;Желейный Стиль;;Микс Цветов;15~19мм;;;;;50 г, 50;50;50 г;50;;;;;;;;;;;;34,821;;;20,892;;;;;;Размер: Длина 16мм, Ширина 15мм, Толщина 8мм, около 46 шт/50г
31.03.2020;УТ0005697;Бусины Акриловые Желейные, Сердце, Цвет: Красный, Размер: 12х12х8мм, Отв-тие 1,5мм, около 88шт/50г, (УТ0005697);000569700.jpg;1000;50 г;;Акрил;Красный;;Сердце;1~1,9мм;;12мм;12мм;7мм;;;;Романтика;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Красно-розовая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;20;29;;33,162;6,50001;195;19,821;3,50001;155,00001;;;;Размер: Длина 12мм. Ширина 12мм,Толщина 8мм, около 88шт/50г
31.03.2020;УТ0005698;Бусины Акриловые Желейные, Сердце, Цвет: Микс, Размер: 12х12х8мм, Отв-тие 1,5мм, около 88шт/50г, (УТ0005698);000569800.jpg;1000;50 г;;Акрил;Микс;;Сердце;1~1,9мм;;12мм;12мм;7мм;;;;Романтика;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Микс Цветов;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;20;24;;33,162;6,50001;195;19,821;3,50001;155,00001;;;;Размер: Длина 12мм. Ширина 12мм,Толщина 8мм, около 88шт/50г
31.03.2020;УТ0005699;Бусины Акриловые Желейные, Сердце, Цвет: Красный, Размер: 17x22х9.5мм, Отв-тие 2мм, около 26шт/50г, (УТ0005699);000569900.jpg;;50 г;;Акрил;Красный;;Сердце;2~2,9мм;;17мм;22мм;9.5мм;;;;Романтика;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Красно-розовая;15~19мм;;;;;50 г, 50;50;50 г;50;10 г, 10;10;10 г;10;500 г, 500;500;500 г;500;;15;;33,162;11,75001;195;19,821;5,49999;155,00001;;;;Размер: Длина 17мм, Ширина 22мм, Толщина 9.5мм, Отверстие 2мм, около 26шт/50г
31.03.2020;УТ0005700;Бусины Акриловые Желейные, Сердце, Цвет: Микс, Размер: 17x22х9.5мм, Отв-тие 2мм, около 26шт/50г, (УТ0005700);000570000.jpg;1000;50 г;;Акрил;Микс;;Сердце;2~2,9мм;;17мм;22мм;9.5мм;;;;Романтика;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Микс Цветов;20мм и больше;;;;;50 г, 50;50;50 г;50;10 г, 10;10;10 г;10;500 г, 500;500;500 г;500;18;16;2;33,162;11,75001;195;19,821;5,49999;155,00001;2;;;Размер: Длина 17мм, Ширина 22мм, Толщина 9.5мм, Отверстие 2мм, около 26шт/50г
31.03.2020;УТ0005701;Бусины Акриловые Желейные, Круглые, Цвет: Зеленый, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005701);000570100.jpg;1250;50 г;;Акрил;Зеленый;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Салатово-зеленая;10~14мм;02 OliveDrab;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;24;18;2;30,537;6,95001;195;19,821;3,75;165;1;;;
31.03.2020;УТ0005702;Бусины Акриловые Желейные, Круглые, Цвет: Орхидея, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005702);000570200.jpg;1750;50 г;;Акрил;Орхидея;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Сиренево-фиолетовая;10~14мм;03 MediumOrchid;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;34;15;2;30,537;6,95001;195;19,821;3,75;165;1;;;
31.03.2020;УТ0005703;Бусины Акриловые Желейные, Круглые, Цвет: Голубой, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005703);000570300.jpg;1300;50 г;;Акрил;Голубой;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Сине-голубая;10~14мм;04 LightSkyBlue;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;25;34;2;30,537;6,95001;195;19,821;3,75;165;1;;;
31.03.2020;УТ0005704;Бусины Акриловые Желейные, Круглые, Цвет: Красный, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005704);000570400.jpg;1400;50 г;;Акрил;Красный;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Красно-розовая;10~14мм;05 Red;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;26;29;;30,537;6,95001;195;19,821;3,75;165;2;;;
31.03.2020;УТ0005705;Бусины Акриловые Желейные, Круглые, Цвет: Розовый темный, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005705);000570500.jpg;2300;50 г;;Акрил;Розовый темный;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Красно-розовая;10~14мм;06 DeepPink;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;45;20;2;30,537;6,95001;195;19,821;3,75;165;1;;;
31.03.2020;УТ0005706;Бусины Акриловые Желейные, Круглые, Цвет: Сиреневый, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005706);000570600.jpg;2350;50 г;;Акрил;Сиреневый;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Сиренево-фиолетовая;10~14мм;07 PearlPink;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;46;35;2;30,537;6,95001;195;19,821;3,75;165;1;;;
31.03.2020;УТ0005707;Бусины Акриловые Желейные, Круглые, Цвет: Бирюзовый, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005707);000570700.jpg;100;50 г;;Акрил;Бирюзовый;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Сине-голубая;10~14мм;08 PaleTurquoise;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;1;31;;30,537;6,95001;195;19,821;3,75;165;1;;;
31.03.2020;УТ0005708;Бусины Акриловые Желейные, Круглые, Цвет: Лососевый светлый, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005708);000570800.jpg;1300;50 г;;Акрил;Лососевый светлый;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Красно-розовая;10~14мм;09 LightSalmon;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;25;34;2;30,537;6,95001;195;19,821;3,75;165;1;;;
31.03.2020;УТ0005709;Бусины Акриловые Желейные, Круглые, Цвет: Желтый, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005709);000570900.jpg;1900;50 г;;Акрил;Желтый;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Оранжево-желтая;10~14мм;0A LightKhaki;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;37;17;1;30,537;6,95001;195;19,821;3,75;165;1;1;;
31.03.2020;УТ0005710;Бусины Акриловые Желейные, Круглые, Цвет: Розовый, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005710);000571000.jpg;2650;50 г;;Акрил;Розовый;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Красно-розовая;10~14мм;0C Pink;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;52;21;2;30,537;6,95001;195;19,821;3,75;165;1;;;
31.03.2020;УТ0005711;Бусины Акриловые Желейные, Круглые, Цвет: Белый, Диаметр: 12мм, Отв-тие 2мм, около 52шт/50г, (УТ0005711);000571100.jpg;750;50 г;;Акрил;Белый;;Круглая;2~2,9мм;12мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Белая;10~14мм;0D White;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;13;30;;30,537;6,95001;195;19,821;3,75;165;2;;;
31.03.2020;УТ0005712;Бусины Акриловые Желейные, Круглые, Цвет: Зеленый, Диаметр: 10мм, Отв-тие 2мм, около 90шт/50г, (УТ0005712);000571200.jpg;2250;50 г;;Акрил;Зеленый;;Круглая;2~2,9мм;10мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Салатово-зеленая;10~14мм;02 OliveDrab;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;44;35;2;30,537;6,95001;195;19,821;3,75;165;1;;;
31.03.2020;УТ0005713;Бусины Акриловые Желейные, Круглые, Цвет: Орхидея, Диаметр: 10мм, Отв-тие 2мм, около 90шт/50г, (УТ0005713);000571300.jpg;2550;50 г;;Акрил;Орхидея;;Круглая;2~2,9мм;10мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Сиренево-фиолетовая;10~14мм;03 MediumOrchid;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;51;34;2;30,537;6,95001;195;19,821;3,75;165;;;;
31.03.2020;УТ0005714;Бусины Акриловые Желейные, Круглые, Цвет: Голубой, Диаметр: 10мм, Отв-тие 2мм, около 90шт/50г, (УТ0005714);000571400.jpg;2100;50 г;;Акрил;Голубой;;Круглая;2~2,9мм;10мм;;;;;;;;Имитация Других Материалов;;;;;Бусины;;Желейные;Желейный Стиль;;Сине-голубая;10~14мм;04 LightSkyBlue;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;42;16;2;30,537;6,95001;195;19,821;3,75;165;;;;
