Дата;Код;Комментарий;Картинка;Вес;Ед;Окраска;Материал;Цвет;Цвет металла;Форма;Отверстие;Диаметр;Длина;Ширина ;Толщина;Огранка;Вид;Производитель;Тема;Тип;Фасовка;Бренд;Вставка;Материал камня;Применение;Свойство камня;Серия;Стиль;Форма отверстия;Палитра;Размер;Номер цвета;;;;Хар2;К2;Уп2;Вес2;Хар3;К3;Уп3;Вес3;Хар4;К4;Уп4;Вес4;Ост2;Ост3;Ост4;ЦенаРозн2;ЦенаРозн3;ЦенаРозн4;ЦенаОпт2;ЦенаОпт3;ЦенаОпт4;Резерв2;Резерв3;Резерв4;ДопОписание
31.03.2020;УТ000003570;Бусины Акрил Матовые, Прозрачные, Цветок, Цвет: Микс,Размер: 12х4.5мм, Отверстие 1мм, около 620шт/100г, (УТ000003570);000003570.jpg;;100 г;;Акрил;Микс;;Цветок;1~1,9мм;12мм;;;4.5мм;;;;;Прозрачные;;;;;Бусины;;;Матовый;;Микс Цветов;10~14мм;;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;164,7;;;102,6;;;;;;Размер: Диаметр: 12мм, Толщина 4.5мм, Отверстие 1мм, около 620шт/100г
31.03.2020;УТ000003572;Бусины Акрил Смешанная Форма, Смешанный Стиль, Цвет: Серебристый, Размер: 6~48х6~35х5~22мм, Отверстие 1.5~4мм, (УТ000003572);000003572.jpg;;100 г;;Акрил;Серебристый;;Микс;Микс;;6~48мм;6~35мм;5~22мм;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Черно-серая;20мм и больше;;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;65,88;;;58,8;;;;;;Размер: Длина 6~48мм, Ширина 6~35мм, Толщина 5~22мм, Отверстие 1.5~4мм
31.03.2020;УТ000003574;Бусины Акрил Смешанная Форма, Смешанный Стиль, Цвет: Золотой, Размер: 6~48х6~35х5~22мм, Отверстие 1.5~4мм, (УТ000003574);000003574.jpg;;100 г;;Акрил;Золотой;;Микс;Микс;;6~48мм;6~35мм;5~22мм;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Оранжево-желтая;20мм и больше;;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;49,41;;;51;;;;;;Размер: Длина 6~48мм, Ширина 6~35мм, Толщина 5~22мм, Отверстие 1.5~4мм
31.03.2020;УТ000003575;Бусины Акрил Лава Имитация, Цвет: Коричневый, Размер: 6~48х6~35х5~22мм, около 14шт/50г, (УТ000003575);000003575.jpg;;50 г;;Акрил;Коричневый;;Микс;Микс;;6~48мм;6~35мм;5~22мм;;;;;Имитация Других Материалов;;;;;Бусины;;;Имитация Лавы;;Коричнево-бежевая;20мм и больше;;;;;50 г, 50;50;50 г;50;100 г, 100;100;100 г;100;;;;;;;;46,071;;;32,088;;;;;;Размер: Длина 6~48мм, Ширина 6~35мм, Толщина 5~22мм, около 14шт/50г
31.03.2020;УТ000003576;Бусины Акрил Смешанная Форма, Смешанный Стиль, Цвет: Коричневый, Размер: 6~48х6~35х5~22мм, Отверстие 1.5~4мм, (УТ000003576);000003576.jpg;;100 г;;Акрил;Коричневый;;Микс;Микс;;6~48мм;6~35мм;5~22мм;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Коричнево-бежевая;20мм и больше;;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;49,41;;;51;;;;;;Размер: Длина 6~48мм, Ширина 6~35мм, Толщина 5~22мм, Отверстие 1.5~4мм
31.03.2020;УТ000003577;Бусины Акрил Смешанная Форма, Смешанный Стиль, Цвет: Красный, Размер: 6~48х6~35х5~22мм, Отверстие 1.5~4мм, (УТ000003577);000003577.jpg;;100 г;;Акрил;Красный;;Микс;Микс;;6~48мм;6~35мм;5~22мм;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Красно-розовая;20мм и больше;;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;49,41;;;43,8;;;;;;Размер: Длина 6~48мм, Ширина 6~35мм, Толщина 5~22мм, Отверстие 1.5~4мм
31.03.2020;УТ000003579;Бусины Акрил Граненые, Красочные, Круглые, Цвет: Черный, Диаметр: 16мм, Отверстие 2мм, (УТ000003579);000003579.jpg;;100 г;;Акрил;Черный;;Круглая;2~2,9мм;16мм;;;;Граненые;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Черно-серая;15~19мм;;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;59,4;;;64,68;;;;;;
31.03.2020;УТ000003581;Бусины Акриловые Античные, Трубка, Цвет: Античное Золото, Размер: 20х8мм, Отверстие 3мм, около 580/500г, (УТ000003581);000003581.jpg;;40 г;;Акрил;Античное Золото;;Трубка;3~3,9мм;;20мм;8мм;;;;;;Античные;;;;;Бусины;;;Античный;;Оранжево-желтая;20мм и больше;;;;;40 г, 40;40;40 г;0;;;;;;;;;;;;37,8;;;24;;;;;;Размер: Длина 20мм, Ширина 8мм, Отверстие 3мм, около 580/500г
31.03.2020;УТ000003582;Бусины Акриловые Античные, Овал, Цвет: Античное Серебро, Размер: 27x2мм, Отверстие 2мм, около 48/100г, (УТ000003582);000003582.jpg;;50 г;;Акрил;Античное Серебро;;Овальная;2~2,9мм;;27мм;;;;;;;Античные;;;;;Бусины;;;Античный;;Черно-серая;20мм и больше;;;;;50 г, 50;50;50 г;0;;;;;;;;;;;;29,565;;;21,9;;;;;;Размер: Длина 27мм, Толщина 2мм, Отверстие 2мм
31.03.2020;УТ000003584;Бусины Акрил Граненые, Непрозрачные, Круглые, Цвет: Белый, Диаметр: 10мм, Отверстие 1.8мм, около 90шт/50г, (УТ000003584);000003584.jpg;2200;50 г;;Акрил;Белый;;Круглая;1~1,9мм;10мм;;;;Граненые;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Белая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;43;15;2;27,321;5,94999;174,99999;18,213;3;144,99999;1;;;
31.03.2020;УТ000003585;Бусины Акрил Граненые, Непрозрачные, Круглые, Цвет: Белый, Диаметр: 14мм, Отверстие 2мм, около 30шт/50г, (УТ000003585);000003585.jpg;1000;50 г;;Акрил;Белый;;Круглая;2~2,9мм;14мм;;;;Граненые;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Белая;10~14мм;;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;500 г, 500;500;500 г;500;20;32;2;27,321;5,94999;174,99999;18,213;3,24999;150;;;;
31.03.2020;УТ000003587;Бусины Акриловые Красочные, Круглые, Цвет: Микс, Диаметр: 10мм, Отверстие 1мм, около 90шт/50г, (УТ000003587);000003587.jpg;;50 г;;Акрил;Микс;;Круглая;1~1,9мм;10мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Микс Цветов;10~14мм;19 Mixed Color;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;;;29,463;6,50001;;17,679;3,21429;;;;;
31.03.2020;УТ000003588;Бусины Акриловые Красочные, Круглые, Цвет: Микс, Диаметр: 12мм, Отверстие 1мм, около 50шт/50г, (УТ000003588);000003588.jpg;;50 г;;Акрил;Микс;;Круглая;1~1,9мм;12мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Микс Цветов;10~14мм;19 Mixed Color;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;;;29,463;6,50001;;17,679;3,21429;;;;;
31.03.2020;УТ000003589;Бусины Акриловые Красочные, Круглые, Цвет: Микс, Диаметр: 14мм, Отверстие 1.5мм, около 64шт/100г, (УТ000003589);000003589.jpg;;100 г;;Акрил;Микс;;Круглая;1~1,9мм;14мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Микс Цветов;10~14мм;19 Mixed Color;;;;100 г, 100;100;100 г;0;;;;;;;;;;;;59,4;;;40,26;;;;;;
31.03.2020;УТ000003590;Бусины Акриловые Красочные, Круглые, Цвет: Микс, Диаметр: 6мм, Отверстие 1мм, около 400шт/50г, (УТ000003590);000003590.jpg;;50 г;;Акрил;Микс;;Круглая;1~1,9мм;6мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Микс Цветов;6~7мм;19 Mixed Color;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;;;32,088;6,50001;;20,088;3,21429;;;;;
31.03.2020;УТ000003591;Бусины Акриловые Красочные, Круглые, Цвет: Микс, Диаметр: 8мм, Отверстие 2мм, около 170шт/50г, (УТ000003591);000003591.jpg;;50 г;;Акрил;Микс;;Круглая;1~1,9мм;8мм;;;;;;;;Красочные;;;;;Бусины;;;Непрозрачный;;Микс Цветов;8~9мм;19 Mixed Color;;;;50 г, 50;50;50 г;50;5 г, 5;5;5 г;5;;;;;;;;29,463;6,50001;;17,679;3,21429;;;;;
