Дата;Код;Комментарий;Картинка;Вес;Ед;Окраска;Материал;Цвет;Поверхность;Форма;Отверстие;Диаметр;Длина;Ширина ;Толщина;Огранка;Вид;Производитель;Тема;Тип;Фасовка;Бренд;Вставка;Материал камня;Применение;Свойство камня;Серия;Стиль;Форма отверстия;Палитра;Размер;Номер цвета;;;;Хар2;К2;Уп2;Вес2;Хар3;К3;Уп3;Вес3;Хар4;К4;Уп4;Вес4;Ост2;Ост3;Ост4;ЦенаРозн2;ЦенаРозн3;ЦенаРозн4;ЦенаОпт2;ЦенаОпт3;ЦенаОпт4;ДопОписание
31.03.2020;УТ0028287;Коннектор Наручники Металл, 2 отверстия, Цвет: Антчиное Серебро, Размер: 39х15х2мм, Отверстие 2мм, (УТ0028287);002828700.jpg;;4 шт;;Металл;Античное Серебро;;Наручники;2~2,9мм;;39мм;15мм;2мм;;2 отверстия;;;Коннекторы Простые;;;;;Коннекторы;;;Тибетский Стиль;;;20мм и больше;;;;;4 шт, 4;4;4 шт;12,3;1 шт, 1;1;1 шт;3,075;;;;;;11;;36,432;10,66071;;18,216;5,89287;;2 Отверстия. Размер: Длина 39мм, Ширина 15мм, Толщина 2мм, Отверстие 2мм.
31.03.2020;УТ0028287;Коннектор Наручники Металл, 2 отверстия, Цвет: Антчиное Серебро, Размер: 39х15х2мм, Отверстие 2мм, (УТ0028287);002828700.jpg;;4 шт;;Металл;Античное Серебро;;Наручники;2~2,9мм;;39мм;15мм;2мм;;2 отверстия;;;Коннекторы Простые;;;;;Коннекторы;;;Тибетский Стиль;;;20мм и больше;;;;;4 шт, 4;4;4 шт;12,3;1 шт, 1;1;1 шт;3,075;;;;;;11;;36,432;10,66071;;18,216;5,89287;;2 Отверстия. Размер: Длина 39мм, Ширина 15мм, Толщина 2мм, Отверстие 2мм.
